Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
13C0932,429757,434504,2,1,12/03/2014,1543,3,1,1,1,1,3,2,30,9
13C1139,428128,432799,2,2,12/03/2014,1705,6,1,1,1,1,3,1,60,9
13C1139,428128,432799,2,2,12/03/2014,1705,6,1,1,1,2,3,1,24,9
13C1243,423341,433944,2,1,12/03/2014,1745,6,1,1,1,2,3,2,12,9
13D1047,428628,434846,2,1,13/03/2014,1600,6,1,1,1,1,3,1,28,9
13D1367,426905,437500,2,1,13/03/2014,1825,3,1,4,1,1,3,1,33,9
13E0793,431001,430771,1,1,14/03/2014,1330,6,1,1,1,3,3,2,32,19
13E0964,431977,430314,2,2,14/03/2014,1504,3,1,1,1,1,3,1,46,9
13E0964,431977,430314,2,2,14/03/2014,1504,3,1,1,1,2,3,1,26,9
13E1326,422824,437426,2,1,14/03/2014,1745,3,1,1,1,1,3,1,26,5
13E1560,423189,434669,2,1,14/03/2014,1515,4,1,1,1,1,3,2,23,9
13E1621,431705,434161,1,1,14/03/2014,1905,6,1,1,1,2,3,1,59,11
13F0092,427996,435194,3,2,15/03/2014,58,6,1,4,1,1,3,1,26,1
13F0092,427996,435194,3,2,15/03/2014,58,6,1,4,1,2,3,2,27,1
13F0439,423264,429759,2,1,15/03/2014,855,3,1,1,1,1,3,1,19,9
13F1387,430220,434373,2,2,15/03/2014,1818,3,1,1,1,2,3,1,21,9
13F1387,430220,434373,2,2,15/03/2014,1818,3,1,1,1,2,3,1,21,9
13G0153,426280,436703,2,1,16/03/2014,140,6,1,4,1,1,3,1,22,9
13G0847,423571,435451,2,1,16/03/2014,1400,4,1,1,1,1,3,2,53,9
13G1491,431412,438792,2,1,16/03/2014,2150,6,1,4,1,1,3,2,23,1
13H1020,426529,427462,2,1,10/03/2014,1320,6,1,1,1,1,3,1,23,1
13H1135,417932,443178,2,1,17/03/2014,1640,3,1,1,1,1,3,1,43,1
13H1290,427944,436111,2,2,17/03/2014,1750,3,1,1,1,1,3,1,29,1
13H1290,427944,436111,2,2,17/03/2014,1750,3,1,1,1,3,3,2,31,1
13I0372,422219,433959,2,2,18/03/2014,945,3,2,1,2,1,3,2,40,9
13I0372,422219,433959,2,2,18/03/2014,945,3,2,1,2,2,3,2,53,9
13I0530,427995,436011,2,1,18/03/2014,1130,3,2,1,1,1,3,1,17,1
13I0589,439961,429819,2,1,18/03/2014,755,6,2,1,1,1,3,1,32,19
13I1211,428433,429155,3,2,18/03/2014,1730,3,1,1,1,1,3,2,46,9
13I1211,428433,429155,3,2,18/03/2014,1730,3,1,1,1,1,3,1,50,9
13I1315,429076,432222,2,1,18/03/2014,1650,6,1,1,1,1,3,2,37,9
13I1435,436072,435562,2,2,18/03/2014,1905,6,1,1,1,1,3,1,48,9
13I1435,436072,435562,2,2,18/03/2014,1905,6,1,1,1,2,3,2,45,9
13J0595,428969,432374,3,2,19/03/2014,1200,6,1,1,1,2,3,2,25,8
13J0595,428969,432374,3,2,19/03/2014,1200,6,1,1,1,1,3,1,26,19
13J1522,436025,428954,2,1,19/03/2014,1920,6,1,4,1,1,3,1,70,1
13J1631,426340,427880,1,2,19/03/2014,2023,6,1,4,1,1,3,1,19,5
13J1631,426340,427880,1,2,19/03/2014,2023,6,1,4,1,2,3,1,23,5
13J1709,425264,432374,2,1,19/03/2014,2030,6,1,4,1,1,3,1,20,9
13K0302,435746,436957,2,1,20/03/2014,830,6,1,1,4,1,3,1,23,3
13K0579,430349,432103,2,2,20/03/2014,1128,6,1,1,1,2,3,1,43,9
13K0579,430349,432103,2,2,20/03/2014,1128,6,1,1,1,2,3,1,32,9
13K1040,428533,431789,2,1,20/03/2014,1600,3,2,1,2,2,3,1,37,9
13K1360,441964,430747,2,2,20/03/2014,1830,6,2,4,5,2,3,2,34,11
13K1360,441964,430747,2,2,20/03/2014,1830,6,2,4,5,2,3,2,26,11
